July,1,80
July,2,80.05
July,3,80.1
July,4,80.15
July,5,80.2
July,6,80.25
July,7,80.3
July,8,80.35
July,9,80.4
July,10,80.45
July,11,80.5
July,12,80.55
July,13,80.6
July,14,80.65
July,15,80.7
July,16,80.75
July,17,80.8
July,18,80.85
July,19,83
July,20,84
July,21,85
July,22,86
July,23,87
July,24,81
July,25,82
July,26,83
July,27,84
July,28,85
July,29,86
July,30,87
July,31,88
August,1,86
August,2,86.2
August,3,86.4
August,4,86.6
August,5,86.8
August,6,87
August,7,87.2
August,8,87.4
August,9,87.6
August,10,87.8
August,11,85
August,12,85.05
August,13,85.1
August,14,85.15
August,15,85.2
August,16,85.25
August,17,85.3
August,18,85.35
August,19,85.4
August,20,85.45
August,21,85.5
August,22,85.55
August,23,85.6
August,24,85.65
August,25,85.7
August,26,85.75
August,27,85.8
August,28,85.85
August,29,85.9
August,30,85.95
August,31,86
